reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,app_name
a6a9a1d7-02be-4f6d-8d65-59b155efd7c6,Sk kadhir Ail,https://play-lh.googleusercontent.com/a/ACg8ocKRPzK68e17OrwucQTznSRBuz0a6XM_zGs1Kwh8NLeJCZyXjQ=mo,very good,5.0,0.0,25.07.11.0,2025-08-05 09:58:28,,,25.07.11.0,PhonePe
e88ba74b-0431-4581-a1df-a1ce36c42b13,chethan Gowda,https://play-lh.googleusercontent.com/a-/ALV-UjXvcA9Ci0hyHXkZu09c_FWfECAIngo8eb4S4RoMS647822NRCXM,👌👌,5.0,0.0,25.07.11.0,2025-08-05 09:56:19,,,25.07.11.0,PhonePe
63c7ba53-7285-48f4-b9db-637ab2ea45aa,Pradum Yadav,https://play-lh.googleusercontent.com/a-/ALV-UjWTwTF0NKdPtSE6XndHvbyTpu3ZjfEJ4Eq7hEqdstmKoa_5S_o,good,5.0,0.0,25.06.27.0,2025-08-05 09:54:05,,,25.06.27.0,PhonePe
b0935964-3956-4d8d-af53-333ae6d5b681,Uttam Chand Meena,https://play-lh.googleusercontent.com/a-/ALV-UjU_css66WE-PdxaSpiWg_xp03ncj8thpVRXmn8zJP0LnRSlaW3Q,"this feedback is regarding refreshing of utility bills, there is no option to refresh or re-fetch the utility bills on phonepe app. Bills keep on showing due even after making payment through some other aap/mode. There should be auto refresh or re-fetch option.",5.0,0.0,25.06.27.0,2025-08-05 09:52:56,Hi. Wishing you a prolonged association with us. ∞SA,2023-09-30 20:26:13,25.06.27.0,PhonePe
977d8ba4-4085-488d-8780-139bed5e0a41,Gajanan Kemekar,https://play-lh.googleusercontent.com/a-/ALV-UjX1_YNRCx9mvN5IvrIoepUJlHzug9teB5IuCfLDz4c24Y9hPHLHZw,my phone block please unblock my account help me,5.0,0.0,25.07.11.0,2025-08-05 09:52:49,,,25.07.11.0,PhonePe
e1e885c5-5785-46ed-a97e-ec68e23397ac,Ranjan Choudhary,https://play-lh.googleusercontent.com/a-/ALV-UjW2ekvA6iq_sYd_PlRuxWXgKAq-K3g9CcZbJg_uH98bpWjQiA7u,good,4.0,0.0,25.07.11.0,2025-08-05 09:52:30,,,25.07.11.0,PhonePe
e2c320e0-8008-4c95-a333-9058f8dfe9da,sudha Jai kumar,https://play-lh.googleusercontent.com/a-/ALV-UjUHlXTLHU_CRW2LwbjK6la8l6jX-a3iXZaLsl0VGM2-MepUtwft,satisfied,5.0,0.0,24.05.31.0,2025-08-05 09:52:17,,,24.05.31.0,PhonePe
5bd4debe-07a5-468d-9a67-0b911c317a08,Avisek Lenka,https://play-lh.googleusercontent.com/a/ACg8ocLU189w9lEPP7kQ9uZ0D5mdfhUm77sgHpjmImFoknrWeHU8BA=mo,outstanding,5.0,0.0,25.07.11.0,2025-08-05 09:51:50,,,25.07.11.0,PhonePe
7e5f25e0-fef5-4a12-8ed4-7ff07ef202a0,Shekara Shekara,https://play-lh.googleusercontent.com/a-/ALV-UjWuI4Hq61iZmoOqjh5UxJfOZ6L3sQa5lXbo4CfeYRGPiU2PdQQX,good,5.0,0.0,25.07.11.0,2025-08-05 09:51:27,,,25.07.11.0,PhonePe
ac2d309e-7dd7-4c39-83d6-7e4a2c1810ac,Dr.krishna Kumari,https://play-lh.googleusercontent.com/a/ACg8ocKEzmmvrNm6GYgsIY94neNTokcFvlSOoyrY-Q8R5X70HvM_DQ=mo,Nice,5.0,0.0,25.07.11.0,2025-08-05 09:49:58,,,25.07.11.0,PhonePe
ee6503ac-2919-417c-b92d-7bf04564692f,NARASIMHA RAO,https://play-lh.googleusercontent.com/a/ACg8ocL80MT-JueYzaJKewDkN-65qsNX1esJg-LDHomHZHcSixQYcQ=mo,good,5.0,0.0,25.07.11.0,2025-08-05 09:49:34,,,25.07.11.0,PhonePe
a87efd57-0bbf-483f-8bc0-eccc1f146461,Sanjay Bishnoi,https://play-lh.googleusercontent.com/a/ACg8ocILaqcsMYqQ5soz5OTZSiDIa7XeCNwxY0MgQxXYFNM-EHAoDQ=mo,good,5.0,0.0,25.07.11.0,2025-08-05 09:48:36,,,25.07.11.0,PhonePe
89db0b47-7cfc-42c2-96cc-10170151f260,Asha Naik,https://play-lh.googleusercontent.com/a/ACg8ocLpMQ87gYw9SmL_2pSLpzZAabebWjdBQ18k0tP-mbsvrjPehQ=mo,very good,5.0,0.0,25.07.11.0,2025-08-05 09:47:14,,,25.07.11.0,PhonePe
be981264-25e3-4903-ae50-5c72958433b6,Ajay Bhardwaj,https://play-lh.googleusercontent.com/a/ACg8ocL97DbjoVGT0bylzN6dze6rUbIMpIGYfbLI222RZ8nNS_Guja4=mo,good,5.0,0.0,25.07.11.0,2025-08-05 09:42:31,,,25.07.11.0,PhonePe
9047ba91-9c3f-4944-96ad-2009e86200d9,Amit Timothius,https://play-lh.googleusercontent.com/a-/ALV-UjX7Se7NC__1at3gA3bFGfgFVhbtmzf32AoNkiM_5YTmT3Iqgo4,Good,5.0,0.0,25.06.13.0,2025-08-05 09:41:47,,,25.06.13.0,PhonePe
